1,Hilton Basel,Basel,Luxury,2024-04-20,2024-04-22,FALSE
2,Marriott Zurich,Zurich,Upscale,2024-04-14,2024-04-21,FALSE
3,Hyatt Regency Basel,Basel,Upper Upscale,2024-04-02,2024-04-20,FALSE
4,Radisson Blu Lucerne,Lucerne,Midscale,2024-04-05,2024-04-24,FALSE
5,Best Western Bern,Bern,Upper Midscale,2024-04-01,2024-04-23,FALSE
6,InterContinental Geneva,Geneva,Luxury,2024-04-23,2024-04-28,FALSE
7,Sheraton Zurich,Zurich,Upper Upscale,2024-04-02,2024-04-27,FALSE
8,Holiday Inn Basel,Basel,Upper Midscale,2024-04-09,2024-04-24,FALSE
9,Courtyard Zurich,Zurich,Upscale,2024-04-03,2024-04-13,FALSE
10,Comfort Inn Bern,Bern,Midscale,2024-04-04,2024-04-16,FALSE
